miRNA	lncRNA
hsa-miR-874-3p	RP11-54O7.17
hsa-miR-1207-5p	RP11-867G23.4
hsa-miR-302a-5p	RP11-343D2.11
hsa-miR-378a-3p	RP11-731F5.1
hsa-miR-140-3p	LINC00854
hsa-miR-491-5p	CTD-2619J13.14
hsa-miR-18a-3p	ADGRA1-AS1
hsa-miR-650	RP11-66B24.2
hsa-miR-875-3p	FRMPD3-AS1
hsa-miR-93-3p	RP11-130L8.1
hsa-miR-30b-3p	AC011284.3
hsa-miR-629-3p	RP11-90K6.1
hsa-miR-214-3p	TMEM9B-AS1
hsa-miR-4511	ST6GAL2-IT1
hsa-miR-1238-3p	RP11-285A18.2
hsa-miR-767-3p	RP5-902P8.10
hsa-miR-370-3p	RP5-902P8.10
hsa-miR-186-5p	RP11-154D6.1
hsa-miR-140-3p	RP11-326C3.14
hsa-miR-374a-5p	RP11-116D2.1
hsa-miR-766-3p	RP11-142C4.6
hsa-miR-27a-3p	LINC01123
hsa-miR-1237-3p	RP11-90K6.1
hsa-miR-185-5p	CTA-280A3.2
hsa-miR-4482-5p	RP11-102K13.5
hsa-miR-766-3p	LINC01002
hsa-miR-765	ST20-AS1
hsa-miR-650	CTD-2013N17.7
hsa-miR-181a-2-3p	FAM95B1
hsa-miR-194-3p	FAM95B1
hsa-miR-939-5p	VPS9D1-AS1
hsa-miR-1200	RP11-627G23.1
hsa-miR-1976	RP11-627G23.1
hsa-miR-130a-5p	RP11-210M15.1
hsa-miR-149-3p	CTA-315H11.2
hsa-miR-501-3p	LINC01165
hsa-miR-500a-3p	LINC01165
hsa-miR-125a-3p	LINC00686
hsa-miR-143-5p	LINC00686
hsa-miR-18a-3p	RP5-1029F21.2
hsa-miR-149-3p	RP11-153F5.7
hsa-miR-149-3p	LINC00173
hsa-miR-758-3p	AC079586.1
hsa-miR-939-5p	CTA-941F9.10
hsa-miR-665	RP13-895J2.3
hsa-miR-342-5p	RP11-1391J7.1
hsa-miR-25-5p	RP11-223P11.3
hsa-miR-1181	RP11-469N6.1
hsa-miR-139-5p	AC015849.16
hsa-miR-185-5p	RP11-159D12.10
hsa-miR-186-5p	RP11-22A3.2
hsa-miR-1207-3p	KCNQ1OT1
hsa-miR-939-5p	RP11-311F12.1
hsa-miR-219a-1-3p	CTC-548K16.5
hsa-miR-146a-5p	RP11-456H18.1
hsa-miR-937-3p	AC009052.12
hsa-miR-26b-3p	RP13-143G15.4
